"2130"	[9504720.42999993, 560225.3499999939, 294.50997521147497]
"2200"	[2022277.9599999273, 154798.8500000004, 62.170375061483256]
"2228"	[2021215.0199999134, 153154.70000000065, 72.53077188071602]
"2445"	[672277.1700000084, 57730.56000000093, 44.11846502165694]
"2459"	[737270.1800000053, 60651.490000000245, 63.76115022053146]
"2487"	[1587866.6299999163, 135736.9000000003, 82.14094614866879]
"2501"	[12557804.07000175, 824276.9799999724, 129.8662233965723]
"2508"	[8080894.869999992, 583122.8099999883, 135.18175365519073]
"2515"	[12895997.970001848, 919280.6099999956, 124.58336605065884]
"2522"	[8644240.619999837, 602744.4499999923, 159.15308428765763]
"2529"	[3255566.1699999277, 305890.00999999954, 103.78291211068021]
"2536"	[7227580.98999996, 487396.0299999927, 128.6527170294943]
"2543"	[4877898.900000091, 329609.80999999656, 86.60888300989134]
"2550"	[1771229.7699999355, 131046.66999999997, 70.51916112592808]
"2564"	[3547420.549999938, 277502.6099999999, 146.3034829050991]
"2571"	[7897713.229999886, 507048.389999985, 161.5272473105061]
"2578"	[5627263.049999811, 429416.9099999906, 147.12952780609749]
"2585"	[5559160.0300000105, 427113.2399999931, 134.61739708446365]
"2592"	[1354722.629999968, 130787.46000000062, 82.82219416763269]
"2599"	[6469639.829999973, 409032.4899999952, 197.3353615982911]
"2606"	[4816503.130000112, 362906.4700000007, 144.1290062241939]
"2613"	[9022670.530000009, 592549.0799999804, 124.72760931171302]
"2620"	[8100802.540000092, 518419.5699999926, 112.02570168160322]
"2627"	[6705544.2299997425, 440389.0299999777, 126.67027277706977]
"2634"	[261294.73999999985, 18788.59999999999, 74.89101175121807]
"2641"	[2645050.4100000076, 214240.57000000266, 108.52379313174445]
"2648"	[14771525.160001755, 844390.9499999686, 151.9329091582506]
"2655"	[1353588.2399999893, 105443.91, 90.55313352956846]
"2662"	[4697632.440000007, 326946.73999999365, 128.84699086645293]
"2669"	[545310.7300000037, 39427.83999999999, 100.46255158437799]
"2676"	[27550.700000000008, 1436.9499999999996, 132.4552884615385]
"2683"	[14969.839999999997, 703.0500000000002, 138.6096296296296]
"2690"	[7334.630000000004, 468.1000000000001, 65.48776785714288]
"2697"	[225655.9300000005, 13300.709999999997, 170.30636226415132]
"2704"	[54104.040000000015, 3825.749999999998, 175.09398058252432]
"2711"	[11644.449999999993, 440.93000000000103, 55.982932692307664]
"2718"	[74381.84999999998, 5541.049999999998, 212.51957142857137]
"2837"	[681218.9700000053, 57771.30999999998, 115.51958114295495]
"2844"	[779590.2900000041, 64678.54000000005, 111.22703524040578]
"2851"	[303192.6800000003, 25535.419999999995, 108.2831000000001]
"2956"	[495550.4900000068, 43375.899999999965, 104.81186336717572]
"2963"	[1113236.5899999659, 82763.61000000003, 87.23741007757745]
"3054"	[1132428.579999948, 69594.01000000031, 59.96762232577568]
"3390"	[10082283.45000065, 722938.809999996, 162.68307301332229]
"3488"	[2080270.740000009, 148900.0, 142.12411969665976]
"3495"	[1692494.249999927, 134368.9200000003, 35.596985025026854]
"3530"	[5854.879999999999, 580.12, 91.48249999999999]
"3565"	[1803661.2699999146, 133278.23000000027, 72.52065739214002]
"3614"	[355967.04000000085, 33676.5, 103.47879069767467]
"3621"	[1604454.2099999604, 127792.0900000008, 82.25017737222332]
"3628"	[3867378.13999989, 304394.69999999995, 177.7287748161714]
"3635"	[444502.6500000015, 35497.27, 70.63445892261267]
"3642"	[46893.18, 3202.5, 129.18231404958678]
"3656"	[2092279.8599999512, 121260.31000000029, 179.34852220126447]
"3663"	[3047001.2999999262, 241746.35, 177.18214223410632]
"3670"	[5050477.4699997455, 368001.6099999998, 188.15578086579782]
"3677"	[60042.00000000005, 5049.88, 97.78827361563526]
"3691"	[2801954.939999934, 162257.0200000002, 201.89904453090747]
"3698"	[1281072.619999967, 53553.76000000024, 84.48675196201062]
