"2012-01"	[15888194.220003074, 1210212.4400000079]
"2012-08"	[21494146.29000446, 1624032.6200000816]
"2013-02"	[18237238.430005666, 1318860.6200000297]
"2013-09"	[19100340.300003197, 1387583.9800000445]
"2014-03"	[19310967.910002824, 1376629.7600000529]
"2014-10"	[26503166.730000652, 1864822.3600001202]
"2015-04"	[22839904.30000148, 1597042.590000096]
"2015-11"	[23622273.770001817, 1573374.600000101]
"2016-05"	[24745115.520000465, 1752919.9500001324]
"2016-12"	[31233144.15999918, 2009171.7800001816]
"2017-06"	[27925730.999998264, 1915222.3400001798]
"2018-07"	[26142578.56999972, 1751675.120000197]
"2019-01"	[23447809.44000001, 1560847.800000268]
"2019-08"	[28377425.78999741, 1805304.640000636]
"2020-02"	[25677988.299999967, 1629139.870000442]
"2020-09"	[36780839.34999786, 2210607.59000074]
"2012-06"	[21826657.65000203, 1615603.9500000689]
"2013-07"	[22600270.86000098, 1661043.8200000862]
"2014-01"	[20028552.41000268, 1466349.830000069]
"2014-08"	[21150099.560002223, 1528362.810000076]
"2015-02"	[21209105.87000219, 1493197.3200000585]
"2015-09"	[24089347.590001244, 1678573.6500001154]
"2016-03"	[22904517.700001784, 1555366.0800000927]
"2016-10"	[25797669.14000013, 1702465.7500001355]
"2017-04"	[22618830.560001604, 1548361.430000091]
"2017-11"	[26346480.019999567, 1692198.6900001517]
"2018-05"	[30135174.509998213, 2065624.0500002466]
"2018-12"	[34992417.639997356, 2151665.3400005125]
"2019-06"	[28844055.839995746, 1861376.9000003925]
"2020-07"	[34272654.19999768, 2125808.960000761]
"2012-04"	[19972207.260002237, 1497402.530000048]
"2012-11"	[19753002.090004273, 1375147.260000041]
"2013-05"	[22382392.560000263, 1683113.8500000942]
"2013-12"	[26182985.63000129, 1748575.1700001317]
"2014-06"	[24412684.260001853, 1726131.2000001066]
"2015-07"	[22384829.040001962, 1569957.120000091]
"2016-01"	[18900960.48000409, 1294608.6400000444]
"2016-08"	[22667257.810000833, 1475154.9900000796]
"2017-02"	[22425054.740001276, 1577714.33000012]
"2017-09"	[24019702.339999765, 1622337.2600001236]
"2018-03"	[24836777.47999976, 1626429.7400001285]
"2018-10"	[34519868.00999778, 2146082.510000511]
"2019-04"	[27697280.549999483, 1850575.680000392]
"2019-11"	[30217598.269998185, 1799765.190000612]
"2020-05"	[32045126.889999375, 2067416.930000806]
"2012-02"	[18090507.6900029, 1384857.03000002]
"2012-09"	[18165321.600004856, 1307374.270000038]
"2013-03"	[18201555.640005704, 1296707.370000028]
"2013-10"	[32088668.569997407, 2236884.5300001362]
"2014-04"	[22622423.700001847, 1636331.8900000874]
"2014-11"	[20230818.600001704, 1377091.3700000632]
"2015-05"	[22417179.560002256, 1601642.85000009]
"2015-12"	[30613067.929997284, 1975544.8700002222]
"2016-06"	[25693070.950000316, 1806186.7900001195]
"2017-07"	[24659602.70000077, 1702313.5500001526]
"2018-01"	[22355303.140000727, 1500078.550000107]
"2018-08"	[30450801.52999823, 2023122.3700004846]
"2019-02"	[24614688.389999192, 1679581.5100002978]
"2019-09"	[28047695.029999036, 1746779.910000556]
"2020-03"	[31169066.799999464, 1954691.1600006493]
"2012-07"	[20662718.77000369, 1546179.7900000627]
"2013-01"	[17818352.48000555, 1324615.3300000285]
"2013-08"	[21528414.010001358, 1558026.450000073]
"2014-02"	[19171249.840002805, 1381712.6200000553]
"2014-09"	[23403995.9600018, 1615063.2300000866]
"2015-03"	[23242637.60000213, 1578789.1900000963]
"2015-10"	[25853906.55000086, 1770410.9000001156]
"2016-04"	[21710932.330001526, 1500485.510000065]
"2016-11"	[25274450.71000014, 1675369.1600001133]
"2017-05"	[27573345.769999735, 1903318.780000178]
"2017-12"	[30970976.18999765, 1953377.4000002048]
"2018-06"	[28514093.13999793, 1909541.0600001938]
"2019-07"	[30512124.07999993, 2032186.4500004672]
"2020-01"	[24768505.389999542, 1565663.3000004592]
"2020-08"	[33722408.119997635, 2035082.2900006967]
"2012-05"	[22161616.980003096, 1707178.3900000816]
"2012-12"	[26029734.310001902, 1750697.410000086]
"2013-06"	[19713974.760002613, 1435629.030000059]
"2014-07"	[21924940.320002984, 1600923.6300000844]
"2015-01"	[18482931.210002266, 1320420.8100000413]
"2015-08"	[22095886.090001382, 1556977.1600000882]
"2016-02"	[21828270.650001124, 1605760.320000105]
"2016-09"	[24216409.25000045, 1655698.180000101]
"2017-03"	[24360564.340001043, 1628970.9900001301]
"2017-10"	[30044097.46999761, 1912189.8500002064]
"2018-04"	[26186442.56999954, 1765777.590000174]
"2018-11"	[28699512.419998176, 1797947.430000349]
"2019-05"	[32727045.599996064, 2171600.7300004903]
"2019-12"	[34433249.47999694, 2036671.4400008502]
"2020-06"	[36006121.289997295, 2222603.4800007744]
"2012-03"	[18114400.210003193, 1351219.5000000326]
"2012-10"	[32649552.7399968, 2357877.9300001194]
"2013-04"	[22134821.620003425, 1654822.7300000978]
"2013-11"	[17765661.95000258, 1246355.340000027]
"2014-05"	[20938711.930003107, 1540086.1200000728]
"2014-12"	[30580450.0400011, 2027003.7600001895]
"2015-06"	[27061734.10000098, 1882140.080000159]
"2016-07"	[20281344.420002244, 1410918.6000000567]
"2017-01"	[19529816.580002367, 1325849.880000064]
"2017-08"	[27018979.189999677, 1859000.14000018]
"2018-02"	[22717693.09000067, 1532636.2300000873]
"2018-09"	[23760537.77999952, 1574502.6000002772]
"2019-03"	[24972246.609998755, 1606562.5700003263]
"2019-10"	[34388725.099997245, 2096478.660000822]
"2020-04"	[31944773.61000068, 2035357.20000072]
