"BENTON"	[4207728.420000155, 321209.4399999906, 84705.46999997641]
"BOONE"	[7870984.709999589, 552039.9299999818, 145645.5599999654]
"Butler"	[1293930.7599999965, 117973.92999999967, 31162.610000001914]
"CLAYTON"	[2659298.550000085, 197733.62000000005, 52141.059999988385]
"Cedar"	[2272212.5699999635, 187813.410000001, 49602.45999998683]
"Cerro Gordo"	[25746274.580005288, 2020428.580000224, 533746.9900008176]
"Clayton"	[3225493.260000122, 248590.94999999992, 65651.32999997308]
"DAVIS"	[503142.61000000493, 39298.16999999999, 10358.570000000569]
"FAYETTE"	[5016635.279999957, 397914.919999994, 105007.77999997443]
"GREENE"	[2610253.359999994, 186300.5700000002, 49160.83999999672]
"Grundy"	[1387719.6799999895, 118974.9399999994, 31426.140000000993]
"HARDIN"	[5952715.549999975, 443826.6599999934, 117109.7399999841]
"Hamilton"	[3836911.71000018, 316213.6299999964, 83503.42999997806]
"Harrison"	[2142673.449999927, 165122.57000000053, 43623.4999999931]
"Henry"	[6123078.139999775, 449987.75999999524, 118862.89000001075]
"Lee"	[15513978.630002797, 1116299.3699999794, 294932.5300001489]
"Linn"	[111469817.81995583, 7989565.779998551, 2110711.69999034]
"Lyon"	[3097531.879999998, 231155.4999999989, 61058.15999997886]
"MAHASKA"	[5409347.640000006, 371858.8399999863, 98072.00999997505]
"Mahaska"	[4320780.400000048, 328674.4899999989, 86836.96999998261]
"Marshall"	[13194955.500001617, 953531.6099999722, 251897.16000002966]
"Muscatine"	[13471542.440002738, 998248.6999999826, 263729.04000006546]
"OBRIEN"	[5797386.439999923, 438212.1999999708, 115550.82999997523]
"POCAHONTAS"	[1503069.739999995, 126593.19000000072, 33390.7500000004]
"POTTAWATTA"	[49270294.73000062, 3122790.870000491, 824064.1700013662]
"Pocahontas"	[1568434.6499999636, 142030.4899999996, 37512.56999999879]
"Pottawatta"	[230637.70999999993, 14865.890000000012, 3923.2400000000007]
"Sac"	[2491231.4999999823, 207802.1500000009, 54874.369999983326]
"Story"	[38280473.41000089, 2758143.2300005076, 728695.5500014761]
"Taylor"	[491817.85999999725, 39313.70999999999, 10389.560000000078]
"WAPELLO"	[9664138.780000092, 630800.2199999695, 166417.52999997122]
"Wapello"	[14049794.220004348, 1001850.5399999451, 264609.1700000824]
"Woodbury"	[42475188.71000299, 2942044.1300001936, 777309.2800010354]
"ADAIR"	[1149345.3099999954, 82118.36999999982, 21650.340000001088]
